object,ra,dec
bh aur,5:12:04.27,+33:57:46.94
corot 2b,	19:27:06.496,+01:23:01.38
corot 11b,18:42:44.95,+5:56:15.72
dy her,16:31:17.95,+11:59:52.5
ee lyn,8:14:50.31,+48:49:16.17
el dra,15:21:59.86,+61:12:40.51
en cep,0:24:41.27,+83:26:18.51
er ori,5:11:14.51,-8:33:24.72
ey uma,9:02:20.76,+49:49:09.28
fk peg,21:26:32.92,+10:48:54.92
hat p 20,07:27:39.950,+24:20:11.49
hat p 23,20:24:29.73,+16:45:43.81
hat p 32 b,2:04:10.28,+46:41:16.20
hat p 54,06:39:35.520,+25:28:57.13
HD 37387,05:39:14.8269197194,+23:19:24.115546429
hr7308,19:15:59.49,+27:55:34.71
ht vul,20:03:54.70,+22:36:54.02
groth strip,14:19:17.6,+52:49:25.25
ic 4665,17:46:27.0,+05:38:55
kepler-41b,19:38:03.1746358686,+45:58:53.876517436
kelt-1b,0:01:26.92,+39:23:01.68
kelt-4b,10:28:15.0726466590,+25:34:24.698988458
kelt-16b,20:57:04.43,+31:39:39.5
kic 8462852,20:06:15.4527143158,+44:27:24.791354432
koi -0732,19:13:18.696,+47:22:53.73
ku dra,13:01:53.67,+65:54:07.30
kz uma,9:31:42.13,+66:51:19.28
m1,05:34:31.94,+22:00:52.2
m3,13:42:11.62,+28:22:38.2
m5,15:18:33.22,+02:04:51.7
m13,16:41:41.634,+36:27:40.75
m15,21:29:58.33,+12:10:01.2
m27,19:59:36.3632092274,+22:43:16.312364964
m29,20:23:46.3,+38:29:13
m31,00:42:44.330,+41:16:07.50
m32,00:42:41.825,+40:51:54.61
m33,01:33:50.904,+30:39:35.79
m34,2:42:07,+42:44:46
m37,05:52:18.0,+32:33:12
m44,8:40:22.00,+19:40:19
m51,13:29:56.0,+47:13:50
m52,23:24:48.00,+61:35:35.89
m53,13:12:55.25,+18:10:05.4
m56,19:16:35.57,+30:11:00.5
m57,18:53:35.08,+33:01:45.05
m63,13:15:49.329,+42:01:45.44
m65,11:18:55.96,+13:05:31.95
m67,8:51:21.00,+11:48:43.0
m71,19:53:46.49,+18:46:45.1
m74,01:36:41.75,+15:47:01.11
m76,01:42:19.6557728208,+51:34:31.534970052
m81,9:55:33.17,+69:03:55.04
m82,09:55:52.430,+69:40:46.93
m92,17:17:07.39,+43:08:09.42
m95,10:43:57.73,+11:42:12.98
m101,14:03:12.58,+54:20:55.50
m102,15:06:29.561,+55:45:47.91
m110,00:40:22.075,+41:41:07.08
m106,12:18:57.62,+47:18:13.38
MU vul,20:02:34.26,+22:58:06.50
my aql,19:43:51.48,+12:07:35.22
ngc 869,02:19:00.0,+57:07:42
ngc 884,02:22:23.0,+57:07:30
ngc 891,2:22:32.91,+42:20:53.95
ngc 3115,10:05:13.978,-07:43:06.89
ngc 4565,12:36:20.804,+25:59:14.61
ngc 5907,15:15:53.69,+56:19:43.87
ngc 6934,20:34:11.37,+07:24:16.1
ngc 6946,20:34:52.33,+60:09:13.26
ngc 7380,22:47:16.1,+58:07:30
ngc 7635,23:20:45.6,+61:12:45
ngc 7790,23:58:27.1,+61:12:36
nsv 10123,18:03:05.10,+36:00:39.0
nsv 20420,15:50:29.80,+49:14:54.0 
